dem_no,dem_str,dem_kind,dem_judgement,dem_title,dem_note,dem_subject,dem_jomun
166404,"조심2018서3069","심판","기각","청구인들이 제3자배정방식으로 인수한 쟁점주식의 발행가액을 상증세법상 시가로 볼 수 있는지 여부 등","증권발행규정상 유상증자를 하는 경우 그 발행가액은 이론적 권리락주가 또는 기준주가에 주권상장법인 등이 정하는 할인율을 적용하여 산정하되, 제3자배정증자방식으로 유상증자하는 경우에는 그 할인율을 100분의 10 이내로 정하도록 규정하고 있으나, 이는 신주 발행조건 및 청약권유절차의 공정성을 확보하기 위한 목적에 불과한 점 등에 비추어 청구인들의 인수가액을 시가로 보아야 한다는 청구주장을 받아들이기 어려움","유상증자, 상장주식, 시가, 보충적 평가","상속세 및 증여세법 제39조"
166403,"조심2018서2157","심판","재조사","비교대상아파트의 매매사례가액을 쟁점아파트의 시가로 보아야 한다는 청구주장의 당부 등","처분청이 추정상속재산으로 본 금액 중 일부 금액은 피상속인의 간병비, 자문료 등으로 사용된 것으로 확인되는 점, 비교대상아파트와 쟁점아파트는 층, 면적, 기준시가, 조망권 등이 서로 달라 그 매매사례가액을 시가라고 보기 어려우므로 시가를 재조사할 필요가 있어 보이는 점 등에 비추어 처분청의 상속세 과세처분은 일부 잘못이 있음","유사매매사례가액, 추정상속재산, 사전증여재산","상속세 및 증여세법 제60조"
166402,"조심2018소3649","심판","기각","EUREX연계상품으로 발생한 해외파생상품 양도차익은 양도소득세 과세대상이 아니라는 청구주장의 당부","EUREX연계상품은 상품의 종류(옵션과 선물), 거래시장(한국거래소와 EUREX), 기초자산(코스피200 주가지수와 코스피200옵션), 만기 등을 달리하는 각각 다른 금융상품인바, 두 자산의 양도손익을 합하여 손실이 발생하였다는 등의 사정만으로 이 건 처분이 실질과세원칙에 위배된다고 보기 어려운 점, EUREX연계상품은 양도소득세 과세대상 국외자산으로 해석되므로 EUREX연계상품에 대한 「소득세법」 상 과세근거규정이 마련되어 있는 점, EUREX연계상품의 최종거래일의 최종결제가격은 야간장 개장 이전의 주간장 종가로 함이 타당해 보이는 점 등에 비추어 청구주장을 받아들이기 어려움","파생상품, 양도","소득세법 제94조"
166401,"조심2018중3139","심판","기각","처분청의 쟁점보험금채권에 대한 압류처분이 무효라는 청구주장의 당부","당초 압류의 압류통지서에는 피압류채권의 범위와 채무이행 금지 문언이 명확하게 기재되어 있어, 은행이 청구인 명의의 쟁점보험금채권 해지환급금을 착오로 지급하였다고 하더라도, 이는 은행이 임의로 압류통지에 따른 지급금지의무를 위반한 것에 불과하여 쟁점보험금채권 압류효력에 영향을 미치는 것으로 볼 수 없는 점 등에 비추어 처분청의 쟁점보험금채권에 대한 압류처분은 유효한 것으로 판단됨","압류, 무효, 불복대상","국세징수법 제24조"
166400,"조심2018전3345","심판","기각","쟁점세금계산서를 가공세금계산서로 보아 매입세액 불공제하고 필요경비 부인하여 소득금액을 추계한 것이 부당하다는 청구주장의 당부 등","청구인은 ◎◎◎으로부터 물품을 구입하고 거래대금을 현금으로 지급하였다고 주장하나, 이를 입증할 수 있는 금융거래내역 등 객관적인 증빙을 제시하지 못하는 점,조사청의 세무조사 결과, 쟁점②세금계산서가 실물 거래 없이 청구인에게 발급한 세금계산서임을 확정하였고, 청구인이 이를 반박할 수 있는 금융거래내역 등 객관적인 증빙을 제시하지 못하고 있는 점 등에 비추어 청구주장을 받아들이기 어려움","가공거래, 치과, 자재","부가가치세법 제39조"
166399,"조심2017전4324","심판","기각","목재펠릿의 실제 수입자가 선하증권을 양도한 국내 공급업체인지, 아니면 선하증권을 양수한 청구법인인지 여부 등","국내 공급업체들이 수출자인 해외거래처와 직접 교섭하여 계약을 체결하고, 신용장(L/C)을 개설하여 수입대금을 지불한 점, 선사 및 포워딩 업체와의 계약, 국내 입항 후 하역 및 국내 창고 보관, 운송업체 선정도 국내 공급업체가 진행한 점, 청구법인 산하 ▣▣본부의 납품일정에 따라 목재펠릿을 운송하고 ▣▣본부에 도착하여 납품되기 전까지 발생하는 목재펠릿에 대한 모든 위험과 품질 저하로 인한 패널티, 납품 지연으로 인한 지체상금까지 국내 공급업체가 부담하였음이 선하증권 양도계약서 및 사실관계에서 확인되는 점 등에 비추어 이 사건 목재펠릿의 실제 수입자는 국내 공급업체이고 청구법인은 이들로부터 매매거래를 통해 목재펠릿을 구입하였다고 봄이 상당하다고 판단됨","수입자, 선하증권, 수입부가가치세, 환급, 부당과소신고가산세, 세금계산서불성실가산세","부가가치세법 제3조 / 부가가치세법 제4조 / 부가가치세법 제35조 / 부가가치세법 제38조 / 부가가치세법 제39조 / 부가가치세법 제50조 / 부가가치세법 제60조 / 관세법 제19조 / 조세특례제한법 제106조 / 국세기본법 제47조의3 / 국세기본법 시행령제12조의2 / 조세범처벌법 제3조"
166398,"조심2018광3134","심판","취소","8년 이상 자경농지에 대한 양도소득세 감면 적용 여부","청구인의 주민등록상 주소 및 국세청 전산자료 등에 의하면, 청구인은 출생 후 쟁점토지를 고령에 양도할 당시까지 평생을 농지소재지에 거주하면서 타 소득 없이 농사만 지어온 전업농민으로 보이는 점, 청구인이 논이었던 쟁점토지를 성토한 것은 당시 정부에서 쌀 생산량이 과다하여 대체작물 재배를 권장하였고, 인근에 위치한 비닐하우스를 보고 청구인도 시설작물을 재배하고자 밭으로 그 형질을 변경하기 위하여 한 것이라는 청구주장에 설득력이 있어 보이는 점, ◎◎농산’에서 청구인으로부터 콩을 매수한 사실을 확인하고 있고, 청구인이 그 당시 쟁점토지 외에 소유 내지 임차한 농지들은 모두 벼를 재배하는 논으로 확인되는 점 등에 비추어 처분청이 8년 이상 자경농지에 대한 양도소득세 감면을 배제하여 청구인에게 이 건 양도소득세를 부과한 처분은 잘못이 있음","자경, 감면, 일시, 휴경","조세특례제한법 제69조"
166397,"조심2017중0547","심판","각하","이 건 심판청구가 적법한 청구인지 여부","무납부고지는 납세자의 신고에 의해 확정된 세액을 징수하기 위한 단순 징수절차에 불과하고, 종합소득세 중간예납 또한 직전 과세기간의 과세표준 및 세액을 근거로 하여 그 금액의 1/2을 납부시키는 징수절차에 불과하므로 이를 불복대상이 되는 처분으로 보기 어려워 이 건 심판청구는 부적법한 청구에 해당함","무납부고지, 중간예납, 처분","국세기본법 제55조"
166396,"조심2018중3193","심판","기각","쟁점사업장의 실사업자가 아니라 명의대여자이므로 이 건 부가가치세 납세의무자 없다는 청구주장의 당부","청구인이 쟁점사업장의 실사업자로 주장하는 ▣▣▣과 청구인은 부부관계였고, 쟁점사업장의 사업자등록이 경제적 이익을 공유할 목적으로 청구인과 ▣▣▣ 간의 합의하에 청구인의 명의로 이루어진 것으로 보이며, 청구인이 쟁점사업장의 사업용 계좌를 직접 개설한 사실을 인정하고 있는 반면, 청구인이 제출한 ▣▣▣과의 혼인관계증명서 및 쟁점계좌의 입출금내역 등만으로는 청구인이 전 남편인 ▣▣▣에게 명의대여를 한 것에 불과하다는 청구주장이 객관적?구체적으로 입증된다고 보기 어려우므로 명의대여에 관한 이 건 청구주장을 받아들이기 어렵다고 판단됨","명의대여, 실사업자","국세기본법 제11조 / 국세기본법 제22조 / 국세기본법 제55조 / 국세기본법 제61조 / 국세기본법 제81조 / 국세기본법 시행령제10조의2"
166395,"조심2018구0576","심판","경정","청구법인이 청구인으로부터 쟁점편직용역을 공급받은 것이 아니라 청구인의 편직기를 임차하여 직접 장갑을 편직하였다고 보아 과세한 처분의 당부 등","청구법인은 다른 외주가공업체의 경우 구매발주서, 청구서, 외주실적자료 등을 보관하고 있는데 반해, 쟁점사업장에 대하여는 위와 같은 자료를 보관하지 아니한 것으로 나타나는 점, 2014년 이후 쟁점사업장의 정규직 근로자는 2명에 불과하고, 해당 직원은 청구법인의 편직부서 직원에 포함되어 있는 것으로 청구법인의 조직도에서 확인되는 점, 작업용 장갑에 대한 특허를 청구법인 대표이사 명의로 등록한 점 등에 비추어 청구법인이 쟁점편직기를 청구인으로부터 임차하여 쟁점편직용역을 직접 수행한 것으로 보이므로 청구주장을 받아들이기 어려운 것으로 판단된다.","사업양수도, 인정이자, 영업권, 구매대행, 위탁, 이전가격, 정상가격, 거래순이익률법","국세기본법 제14조 / 법인세법 제52조 / 「상법」제341조"
166394,"조심2018서0643","심판","기각","쟁점부동산의 취득가액이 불분명하므로 환산가액으로 취득가액을 산정하여야 한다는 청구주장의 당부","검인계약서 상세조회에 의하면 쟁점부동산의 전소유자가 청구인 등에게 쟁점부동산을 양도하면서 쟁점부동산의 거래가격을 *억원으로 신고한 사실이 확인되는 점,감정평가상 쟁점부동산의 취득 당시 시가는 사후에 소급하여 확인한 것에 불과할 뿐 객관적이고 합리적인 가액이라고 인정하기 어려운 점 등에 비추어 청구주장을 받아들이기 어려움","취득가액, 환산가액","소득세법 제97조"
166393,"조심2018중3163","심판","경정","쟁점금액은 건설가설재 판매업에서 발생한 수입금액으로 그 필요경비의 입증이 곤란하므로 추계방법으로 해당 소득금액을 결정하여야 한다는 청구주장의 당부","쟁점금액은 2014?2015년에 총 52회에 걸쳐 계속적?반복적으로 거래가 이루어졌을 뿐만 아니라, 거래상대방인 쟁점거래처의 업종은 건설가설재 임대업으로 청구인이 영위하였다고 주장하고 있는 건설가설재 판매업과 직접적으로 관련되어 있는 점 등에 비추어 쟁점금액을 화물운송 중개?대리업에서 발생한 매출로 보기 보다는 건설가설재 판매업에서 발생한 매출로 보아야 한다는 청구주장에 일응 수긍이 가고, 청구인은 건설가설재 판매업에서 발생한 수입금액인 쟁점금액에 대하여 아무런 매입 증빙을 제시하지 못하여 장부 및 증빙서류의 중요한 부분이 미비 또는 허위인 경우에 해당하므로 관련 소득금액을 추계 결정함이 타당하다고 판단됨","추계, 복식부기의무자, 필요경비, 운송업, 판매업","소득세법 제80조"
166392,"조심2018중2389","심판","취소","이 건 인정기타소득의 귀속시기가 2013년인지 아니면 2014년인지","「소득세법 시행령」제50조 제1항 제2호에서 “법 제21조 제1항 제20호에 따른 기타소득”의 경우에는 “그 법인의 해당 사업연도의 결산확정일”을 그 기타소득의 수입시기로 규정하고 있는바, 조사청은 쟁점금액이 2013년 중에 청구인에게 유출된 것으로 보아 기타소득 처분하였고, 그 인정기타소득의 수입시기는 지급법인의 결산확정일이 속하는 2014년이므로 처분청이 그 귀속연도를 2013년도로 하여 이 건 종합소득세를 과세한 처분은 잘못임","인정기타소득, 수입시기","소득세법 시행령제50조"
166391,"조심2018전2666","심판","경정","청구인이 쟁점토지를 무상으로 임대한 법인의 사업개시일을 기준으로 평가한 임대료 시가를 이후 과세기간에 계속 적용하여 부당행위계산부인 등을 하여 부가가치세 및 종합소득세를 부과한 처분의 당부","쟁점토지를 임차한 ◇◇◇◇◇◇◇의 사업개시일 현재 고시된 개별공시지가 및 정기예금이자율을 적용하여 산정한 쟁점토지의 임대료 시가를 그 변동에 불구하고 20▣▣년말까지 동일하게 적용하여 청구인에게 이 건 부가가치세 및 종합소득세를 부과한 처분은 잘못이 있다고 판단됨","토지, 무상임대, 시가, 부당행위계산부인","부가가치세법 제12조 / 부가가치세법 제29조 / 부가가치세법 시행령제26조 / 부가가치세법 시행령제62조 / 소득세법 제41조 / 소득세법 시행령제98조 / 법인세법 시행령제89조"
166390,"조심2018서2594","심판","기각","쟁점주식의 명의신탁에 조세회피 목적이 없으므로 이 건 증여세 부과처분은 위법?부당하다는 청구주장의 당부 등","청구인들은 쟁점주식 명의신탁에 조세회피와 상관없는 뚜렷한 목적이 있었다는 점에 대하여 객관적이고 납득할 만한 입증을 하지 못하고 있는 점 등에 비추어 청구주장을 받아들이기 어렵고 투자자산 처분손익이 유가증권 처분손익 또는 특별손익에 포함된다고 하더라도 청구인들은 쟁점주식의 추정이익의 평균가액을 평가?신고하지 않았으므로 추정이익을 적용하기 어렵고, 이러한 경우 순자산가치만으로 평가하여야 한다거나 경상이익만을 가지고 평가하여야 한다는 별도의 규정이 없는 점 등에 비추어 청구주장을 받아들이기 어려운 것으로 판단됨","명의신탁, 조세회피, 특별손익, 우발적손익","상속세 및 증여세법 제45조의2 / 상속세 및 증여세법 제63조 / 상속세 및 증여세법 시행령제56조"
166389,"조심2018중3559","심판","기각","단순경비율이 아닌 기준경비율을 적용해 쟁점사업장의 소득금액을 계산하여 종합소득세를 과세한 처분의 당부 등","청구인이 20▣▣년에 부산물을 일부 판매하였다 하더라도 오피스텔신축판매업을 영위한 청구인의 사업개시일은 오피스텔을 판매하기 시작한 20◎◎년으로 봄이 타당한 점, 20▣▣년에 기존건물을 철거하면서 발생한 일부 부산물의 매각수입이 있다 하더라도 이는 오피스텔신축판매업과 직접적인 관련이 없는 것으로 보이는 점, 국세청 홈택스 인터넷 상담에 대한 답변은 과세관청의 공식적인 견해표명이 아니므로 신의성실의 원칙이 적용되지 않는 점 등에 비추어 청구인의 사업개시 시점은 20◎◎년으로 보이므로 이 건 처분은 달리 잘못이 없는 것으로 판단됨","단순경비율, 기준경비율, 가산세","부가가치세법 제5조 / 부가가치세법 시행령제6조 / 소득세법 시행령제143조 / 국세기본법 제15조 / 국세기본법 제48조"
166388,"조심2017서3071","심판","기각","쟁점설명회 개최에 소요된 쟁점비용이 접대비인지 판매부대비용인지 여부","청구법인은 20○○년부터 20◇◇년까지 ◎년간 총 ▣▣,▣▣▣회의 쟁점설명회를 개최하면서 총 □□,□□□백만원의 쟁점비용을 지출한 데 대해 단 몇 건의 샘플만을 증빙으로 제출하였을 뿐이고, 그 지출내역 또한 ◆◆시 △△분에 ‘●●●●’에서 주류를 포함하여 지출한 식대비용 등으로 확인되며, 다른 샘플의 경우 음식점의 위치 등으로 보아 이동시간과 식사시간을 제외하면 제품에 대하여 설명할 시간이 없어 보이는바, 따로 시간을 내기 어려운 의료전문가들을 상대로 하여야 하기에 불가피하게 해당 장소에서 쟁점설명회 및 질의응답 시간을 가졌다고 인정하기 어려운 점, 처분청이 제출한 특정 영업사원의 영업활동 내역을 보면 영업사원별로 담당 병원 및 약품을 정하여 영업활동을 하고 쟁점설명회를 개최한 것으로 나타나 불특정 다수를 상대로 한 것으로 보기 어려운 점 등에 비추어 이 건 거부한 처분은 달리 잘못이 없다고 판단됨","판매부대비용, 접대비, 광고선전비","법인세법 제19조 / 법인세법 제25조 / 법인세법 시행령제19조"
166387,"조심2017중5187","심판","기각","청구인의 직전 과세기간에 신고한 수입금액을 부인하고 당해 과세기간에 신규로 사업을 개시한 자로 보아 기준경비율을 적용하여 종합소득금액을 추계경정하여 종합소득세를 부과한 처분의 당부","사업개시일은 사업자등록일 등 형식적으로 판단할 것이 아니라 사업의 준비가 끝나고 본래의 사업목적을 수행하거나 수행할 수 있는 상태가 된 때를 기준으로 실질적으로 판단하여야 하는바, 쟁점용역의 컨설팅 및 자료제공기간은 2015～2016년으로 나타나는 점, 쟁점용역은 사업을 목적으로 한 것이 아니라 차기 과세기간의 소득금액 산정 시 단순경비율 적용을 위한 것으로 보이는 점 등에 비추어 처분청이 기준경비율을 적용하여 이 건 종합소득세를 부과한 처분은 달리 잘못이 없음","추계, 기준경비율, 단순경비율","부가가치세법 제16조 / 부가가치세법 제17조 / 소득세법 제143조 / 소득세법 제208조"
166386,"조심2018부3420","심판","기각","청구인을 쟁점법인의 과점주주로 보아 제2차 납세의무자로 지정하고 납부통지한 처분의 당부","청구인이 명의를 도용당한 것이 아니라 동생에게 인감도장 및 신분증을 준 것은 법률행위의 포괄위임으로 볼 수 있는 점, 쟁점법인의 등기부등본상 청구인이 주금을 납입한 것으로 기재되어 있는 반면, 청구인이 제출한 증빙자료만으로는 청구인이 쟁점법인에게 명의만 대여한 형식적인 주주인지 여부를 확인하기 어려운 점, 청구인이 실제로 주주권을 행사한 사실이 없더라도 쟁점법인의 주주로서 소유 주식에 관하여 주주권을 행사할 수 있는 지위에 있다면 주주가 아니라고 보기 어려운 점 등에 비추어 이 건 처분은 달리 잘못 없음","과점주주, 제2차 납세의무, 포괄위임, 주주권 행사, 인감도장, 신분증","국세기본법 제39조"
166385,"조심2015서4837","심판","기각","쟁점증여를 사기 기타 부정한 행위로 보아 부당무신고가산세를 적용한 처분이 부당하다는 청구주장의 당부","쟁점SPC는 △△△의 개인재산을 보유?관리하는 용도로만 이용된 해외 페이퍼컴퍼니이므로 쟁점SPC가 CS에 설정한 계좌는 △△△의 차명계좌로 볼 수 있는데, 청구인은 이러한 차명계좌를 통하여 변칙적으로 예금을 증여받은 점,쟁점증여와 더불어 청구인이 △△△로부터 쟁점주식의 매각대금을 증여받은 1차증여시에도 △△△의 차명계좌인 쟁점SPC 명의로 된 계좌로부터 여러 단계의 SPC를 거치도록 함으로써 자금흐름을 복잡하게 하여 소유자의 추적을 어렵게 한 사실이 있는 점 등에 비추어 청구인이 △△△로부터 쟁점증여를 받는 과정에 과세관청으로 하여금 조세의 부과징수를 불가능하게 하거나 현저히 곤란하게 하는 위계 기타 부정한 적극적 행위가 있었다고 인정된다 할 것이므로, 처분청이 쟁점증여에 대한 증여세 과세시 부당무신고가산세를 적용하여 과세한 처분은 잘못이 없음","부정행위, 차명계좌","국세기본법 제47조의2"
166384,"조심2018전3131","심판","취소","20**년 귀속 부가가치세 부과처분이 국세부과의 제척기간을 도과한 것인지 여부 등","청구법인이 쟁점상여금액이 사외유출되지 아니하였다는 주장에 대하여 이를 뒷받침할 만한 구체적이고 객관적인 증빙을 제시하지 아니하고 있는 점 등에 비추어 쟁점상여금액에 대한 소득금액변동통지 처분은 잘못이 없으나, 청구법인이 차명계좌가 아닌 법인명의의 계좌로 보험수입금액을 수령하고 임대료 등을 정산?지급한 점으로 보아 적극적인 부정행위에 의한 10년의 국세부과제척기간을 적용하는 데 무리가 있어보이므로 쟁점부가가치세액을 과세한 이 건 처분은 잘못이 있다고 판단됨","매출누락, 가공비용, 적극적, 부정, 10년, 제척기간, 대표자, 상여, 사외유출","국세기본법 제26조의2 / 국세기본법 제67조"
166383,"조심2018부2737","심판","취소","쟁점사업장의 실제 사업자가 청구인이 아니라는 청구주장의 당부","청구인의 수입금액내역상 화장품?정수기 등 방문판매업, 보험?카드 모집인, 학습지방문교사 등을 하였음이 확인되는 반면, ???의 소득발생처는 쟁점사업장이고 다년간 건설업을 영위하거나 종사한 이력이 있을 뿐만 아니라 부산지방법원 판결서상 쟁점사업장의 실제 사업자가 ???이라고 판시되어 있는 점, ???의 확인서상 자신이 쟁점사업장의 실제 사업자라고 인정하고 있는 점 등에 비추어 쟁점사업장의 실질 사업자는 ???로 봄이 타당함","실지사업자, 명의대여자","국세기본법 제14조"
166382,"조심2017서2761","심판","기각","쟁점주식 양도소득의 실질귀속자는 양도법인인 네덜란드 법인이고, 그렇게 볼 수 없다면 이 건 유한파트너쉽의 최종투자자를 실질귀속자로 보아 조세조약을 적용하여야 한다는 청구주장의 당부","양도법인인 네덜란드 법인은 OOO 주식에 투자하기 위한 목적으로 설립되었고, 별도의 인적?물적 시설 없이 위탁관리회사를 통해 운영되었으며, OOO 주식에 투자할 때는 이 건 유한파트너쉽의 자금이 룩셈부르크 법인을 거쳐 네덜란드 법인에 순차적으로 투자되고 주식에 대한 배당금과 양도대금은 그 반대로 이 건 유한파트너쉽으로 이체되는 등 ooo 주식의 투자와 그에 따른 소득을 이전하는 통로 역할만 하였으며, OOO 또한 배당소득을 지급할 때 네덜란드 법인을 실질귀속자로 보지 아니하여 조세조약상 제한세율을 적용하지 아니한 점, 그 주주인 룩셈부르크 법인 또한 네덜란드 법인과 그 속성이 동일하므로 달리 볼 이유가 없는 점, 이 건 유한파트너쉽은 ooo의 자금으로 ooo 주식 투자 외에 다양한 직?간접 투자를 하였고, 구성원인 사원들과 별개로 자산을 소유하는 등 「법인세법」상 외국법인에 해당하는 점 등에 비추어 청구주장을 받아들이기 어려움","수익적 소유자, 파트너쉽, 투과과세단체","법인세법 제93조"
166381,"조심2015서4838","심판","기각","청구인이 해외SPC를 통하여 취득한 주식을 해외금융기관에 명의신탁한 것으로 보아 명의신탁 증여의제 규정을 적용하여 증여세를 과세한 처분의 당부 등","쟁점SPC는 사실상 페이퍼컴퍼니에 불과하여 쟁점주식의 실제소유자는 청구인임에도 주주명부에는 OO가 주주로 등재되어 있는 점,청구인은 대주주이기 때문에 주식 양도차익에 대하여 30%의 고율로 과세되고 효성이 배당을 실시할 경우 누진세율이 적용될 수 있는바, 청구인 본인 명의가 아닌 비거주자를 통하여 쟁점주식을 거래함으로써 고율의 조세를 회피할 수 있었던 것으로 보이는 점, 이 건을 상증법 제45조의2 제5항에서 규정하는 명의신탁 증여의제 과세대상의 예외에 해당하는 것으로 보기도 어려운 점 등에 비추어 청구인이 쟁점SPC를 통하여 취득한 주식을 OO 명의로 등재한 것은 명의신탁 증여의제 대상에 해당한다 할 것이므로 청구주장을 받아들이기 어려움","명의신탁, 외국법인, 양도재산","상속세 및 증여세법 제45조의2"
166380,"조심2018광0386","심판","취소","청구인이 남편에게 명의를 도용당하여 공동사업 계약 및 관련 사업자등록변경이 이루어졌다는 청구주장의 당부","청구인은 쟁점사업장의 공동사업과 관련한 동업계약서 등에 대하여 전혀 알지 못하고, 남편이 청구인의 명의를 도용하여 허위로 공동사업의 외관을 갖춘 것이라고 주장하고 있는 점,이 건 부가가치세 부과처분이 이루어지기 이전부터 청구인과 남편 간에 이혼소송이 진행 중이었던 것으로 보아 청구인이 명의도용 관련 이 건 청구주장의 신빙성을 뒷받침하는 정황증거로 활용하고자 위장이혼을 하려는 것으로 보이지 아니하는 점 등에 비추어 청구인에게 한 부가가치세를 과세한 이 건 처분은 잘못이 있음","실지, 대표자, 동업, 명이 도용","국세기본법 제14조 / 부가가치세법 제57조"
166379,"조심2017서3306","심판","기각","사용료소득의 실질적인 수익적 소유자가 네덜란드법인이라고 보아 법인세(원천세)를 과세한 처분의 당부","설립당시 자본금이 OOO만원에 불과하였던 헝가리법인은 설립 후 2개월 뒤 네덜란드법인과 라이센스계약을 체결하여 네덜란드법인으로부터 5개국에 대한 영화배포권을 허여받고, 2011사업연도부터 수천억원에 달하는 당기순이익을 달성한 점, 헝가리법인은 당기순이익의 상당부분을 네덜란드법인에 배당으로 지급하여 소득의 대부분을 네덜란드법인에 이전하고 있는 점 등에 비추어 헝가리법인은 청구법인에게 단순히 영화 등을 배급하고 그에 따른 사용료소득을 수취한 후 네덜란드법인에게 전달하는 역할을 수행하는 도관회사로 보이므로 처분청이 쟁점사용료소득의 실질적인 수익적 소유자를 네덜란드법인이라고 보아 법인세를 과세한 처분은 잘못이 없음","수익적 소유자, 사용료소득","국제조세조정에관한법률 제2조의2"
166378,"조심2017부0311","심판","경정","청구법인이 국외특수관계자에게 낮은 이자율로 금전을 대여한 것으로 보아 국내 정기예금금리에 국세청 모형에 따라 산정한 가산금리를 더한 것을 정상이자율로 하여 과소수취한 이자수익을 익금산입하여 법인세를 과세하고 이전소득금액변동통지한 처분의 당부 등","쟁점대여거래는 소재지 국가가 다른 사업자 간의 국제금융거래인데 처분청이 정상가격 산정시 국제적으로 통용되는 기준금리를 사용하지 않고 국내 은행의 원화정기예금이자율을 사용하는 것은 거래의 실질 및 관행에 합치되지 않는 것으로 보이고, 잉여자금을 가진 사업자가 이를 은행에 예금할지 특수관계자에게 대여할지 여부는 그 거래를 결정할 당시의 다양한 사정에 따라 자유롭게 판단하여 선택할 수 있으며, 표면적으로 특수관계자에 대한 대여보다 더 많은 이익을 얻을 수 있는 은행 예금거래가 존재한다는 사정만으로 곧바로 특수관계자와의 거래가 정상가격의 범위를 벗어났다고 볼 수는 없는 점 등에 비추어 청구법인이 쟁점대여거래시 이자수익을 과소하게 수취한 것으로 보기 어려움","정상가격, 정상이자율, 이전소득금액변동통지","국제조세조정에관한법률 제4조"
166377,"조심2016부1407","심판","경정","청구법인이 국외특수관계자에게 낮은 이자율로 금전을 대여한 것으로 보아 국내 정기예금금리에 국세청 모형에 따라 산정한 가산금리를 더한 것을 정상이자율로 하여 과소수취한 이자수익을 익금산입하여 법인세를 과세하고 이전소득금액변동통지한 처분의 당부 등","쟁점대여거래는 소재지 국가가 다른 사업자 간의 국제금융거래인데 처분청이 정상가격 산정시 국제적으로 통용되는 기준금리를 사용하지 않고 국내 은행의 원화정기예금이자율을 사용하는 것은 거래의 실질 및 관행에 합치되지 않는 것으로 보이고, 잉여자금을 가진 사업자가 이를 은행에 예금할지 특수관계자에게 대여할지 여부는 그 거래를 결정할 당시의 다양한 사정에 따라 자유롭게 판단하여 선택할 수 있으며, 표면적으로 특수관계자에 대한 대여보다 더 많은 이익을 얻을 수 있는 은행 예금거래가 존재한다는 사정만으로 곧바로 특수관계자와의 거래가 정상가격의 범위를 벗어났다고 볼 수는 없는 점 등에 비추어 청구법인이 쟁점대여거래시 이자수익을 과소하게 수취한 것으로 보기 어려움","정상가격, 정상이자율, 이전소득금액변동통지","국제조세조정에관한법률 제4조"
166376,"조심2018중2739","심판","취소","자금 대여약정을 투자약정으로 소급하여 전환함에 따라 약정이자로 지급받은 쟁점금액을 반환하였음에도 쟁점금액을 이자소득으로 보아 과세한 처분은 부당하다는 청구주장의 당부","「소득세법」제24조 제1항에서 거주자의 각 소득에 대한 총수입금액은 “해당 과세기간”에 수입하였거나 수입할 금액의 합계액으로 한다고 규정되어 있는바, 청구인이 체결한 금전대여약정을 해당 종합소득세 과세기간이 경과되지 아니한 201x.xx.xx. 소급하여 해제하고 투자약정으로 전환하면서 동 투자약정의 효력이 소급하여 발생한다고 약정한 점, 이에 따라 청구인은 201x년에 지급받은 쟁점금액을 모두 쟁점법인에게 반환하여 해당 과세기간에는 금전대여 약정으로 인하여 실제 수입한 금액이 없는 것으로 나타나는 점 등에 비추어 처분청이 쟁점금액을 청구인의 이자소득으로 보아 종합소득세를 과세한 이 건 처분은 잘못이 있음","대여금, 투자금, 이자소득, 계약해제","소득세법 제16조"
166375,"조심2018서1589","심판","기각","쟁점금원은 이자소득에 해당한다는 청구주장의 당부","OOOO이 청구인에게 운동기기 등을 특정 설치장소에 설치하게 하고, 청구인은 이를 다시 임대방식으로 위탁하며, 임대기간 종료 후 청구인의 선택에 의해 일정 금액을 추가 지급하고 영구소유하거나 중고가로 본사에 판매할 수 있는 ‘환매조건부 위수탁관리계약’을 맺은 것으로 보이는 점, 위탁관리계약서상 물품에 대한 통제권이 청구인에게 있는 것으로 나타나 이 건이 재화의 공급에 해당하지 않는다고 보기 어려운 점, 그 외 청구인이 기기의 매매 또는 중개 등의 거래와 관련하여 재화 또는 용역의 공급이 없었거나 유사수신행위를 하였다는 내용 등은 나타나지 않는 점 등에 비추어 쟁점금원이 이자소득에 해당한다는 청구주장은 받아들이기 어려움","스포츠용품 임대업, 사업소득, 이자소득","소득세법 제19조"
166374,"조심2018부2372","심판","기각","청구법인이 중소기업 등에 대출을 실행하여 지방자치단체 등으로부터 수령한 이차보전금이 「교육세법 시행령」 제4조 제2항 제3호의 ‘국고보조금’ 또는 ‘자산수증익’에 해당된다는 청구주장의 당부","쟁점이차보전금은 청구법인의 대출행위에 대한 대가의 일부를 지방자치단체 등으로부터 수령한 것에 불과하여 그 실질은 금전대여에 대한 이자수익에 해당하는 것으로 보이는 점, 청구법인이 대출이자율을 결정하고 융자금 회수에 대한 책임 등을 부담하는 등 중소기업 등에 통상적인 영업활동의 일환으로 대출용역을 제공하고 단지 지방자치단체 등에서 보조하는 만큼의 이자(이차보전금)를 지방자치단체 등으로부터 수령한 것에 불과한 점에서 대출금의 수혜자는 청구법인이 아닌 중소기업인 점에서 쟁점이차보전금은 자금 대출에 따른 청구법인의 이자수익으로서 무상으로 받은 자산에 해당하지 않는 점 등에 비추어 청구주장을 받아들이기 어려움","이자차액보전금, 자산수증이익","교육세법 시행령제4조"
